Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Cleveland Cavaliers*,82,19930,2803,6083,.461,396,1108,.357,2407,4975,.484,1364,1801,.757,851,2246,3097,1812,556,433,1213,1770,7366,1996
New York Knicks*,82,19780,2800,6410,.437,397,1165,.341,2403,5245,.458,1802,2449,.736,1021,2317,3338,1584,639,324,1264,1907,7799,1996
Atlanta Hawks*,82,19855,3001,6485,.463,420,1212,.347,2581,5273,.489,1394,1919,.726,1051,2391,3442,1733,608,320,1359,1815,7816,1996
Indiana Pacers*,82,19780,2921,6408,.456,475,1304,.364,2446,5104,.479,1516,2089,.726,1048,2156,3204,1804,691,416,1370,2058,7833,1996
Chicago Bulls*,82,19830,2923,6399,.457,401,1150,.349,2522,5249,.480,1682,2280,.738,1068,2252,3320,1713,687,369,1485,1892,7929,1996
Charlotte Hornets*,82,19805,3088,6807,.454,429,1289,.333,2659,5518,.482,1375,1859,.740,1102,2365,3467,1898,535,368,1216,1859,7980,1996
Utah Jazz*,82,19780,2845,6282,.453,546,1431,.382,2299,4851,.474,1835,2477,.741,917,2125,3042,1713,648,429,1353,2053,8071,1996
Sacramento Kings,82,19855,2964,6549,.453,377,1240,.304,2587,5309,.487,1833,2473,.741,1145,2268,3413,1820,756,515,1348,2033,8138,1996
Portland Trail Blazers*,82,19705,2951,6465,.456,442,1189,.372,2509,5276,.476,1794,2380,.754,883,2295,3178,1789,638,405,1302,1938,8138,1996
Philadelphia 76ers,82,19805,3100,6663,.465,467,1287,.363,2633,5376,.490,1569,2057,.763,1143,2317,3460,1992,712,422,1299,1859,8236,1996
Denver Nuggets*,82,19980,3050,6695,.456,419,1208,.347,2631,5487,.479,1721,2296,.750,1021,2207,3228,1784,640,460,1167,1956,8240,1996
San Antonio Spurs*,82,19855,3168,6974,.454,426,1251,.341,2742,5723,.479,1491,2089,.714,1017,2303,3320,1878,633,408,1182,2063,8253,1996
New Jersey Nets,82,19880,3182,6904,.461,440,1176,.374,2742,5728,.479,1495,2073,.721,1056,2435,3491,1826,733,440,1104,1911,8299,1996
Houston Rockets*,82,19730,3202,7061,.453,506,1345,.376,2696,5716,.472,1407,1874,.751,1165,2386,3551,1940,744,365,1274,1779,8317,1996
Seattle SuperSonics*,82,19830,3008,6637,.453,520,1514,.343,2488,5123,.486,1848,2514,.735,1064,2207,3271,1849,652,493,1485,2024,8384,1996
Miami Heat,82,19805,3092,6566,.471,511,1417,.361,2581,5149,.501,1732,2340,.740,1036,2355,3391,1860,656,385,1332,1896,8427,1996
Minnesota Timberwolves,82,19780,3088,6509,.474,468,1243,.377,2620,5266,.498,1820,2491,.731,1169,2305,3474,2069,703,512,1323,1982,8464,1996
Milwaukee Bucks,82,19855,3248,6589,.493,491,1242,.395,2757,5347,.516,1517,2081,.729,1014,2337,3351,2103,770,407,1359,1973,8504,1996
Orlando Magic*,82,19930,3242,7093,.457,468,1239,.378,2774,5854,.474,1560,2106,.741,1136,2226,3362,1986,700,367,1234,1954,8512,1996
Boston Celtics*,82,19805,3303,6820,.484,375,1047,.358,2928,5773,.507,1601,2225,.720,1064,2335,3399,1999,653,454,1232,1922,8582,1996
Los Angeles Lakers*,82,19905,3299,7050,.468,456,1294,.352,2843,5756,.494,1580,2233,.708,1283,2474,3757,2203,644,489,1390,1807,8634,1996
Detroit Pistons,82,19730,3120,6558,.476,448,1235,.363,2672,5323,.502,1963,2720,.722,1147,2432,3579,2013,693,439,1286,1746,8651,1996
Los Angeles Clippers,82,19880,3207,6470,.496,388,1049,.370,2819,5421,.520,1876,2503,.750,1083,2536,3619,1917,693,459,1506,1905,8678,1996
Dallas Mavericks,82,19930,3407,6982,.488,432,1181,.366,2975,5801,.513,1454,1981,.734,1053,2379,3432,1991,722,502,1250,1925,8700,1996
Washington Bullets,82,19855,3246,6768,.480,438,1145,.383,2808,5623,.499,1771,2315,.765,1107,2521,3628,1959,701,446,1359,1775,8701,1996
Phoenix Suns*,82,19830,3320,6963,.477,525,1544,.340,2795,5419,.516,1590,2138,.744,1038,2431,3469,2149,658,391,1285,2026,8755,1996
Golden State Warriors,82,19905,3527,7233,.488,492,1384,.355,3035,5849,.519,1565,2175,.720,1196,2527,3723,2345,865,412,1326,2133,9111,1996
League Average,82,19837,3115,6682,.466,450,1255,.359,2665,5427,.491,1635,2220,.737,1070,2338,3408,1916,679,423,1308,1924,8315,1996
Cleveland Cavaliers*,82,19830,2674,5787,.462,513,1322,.388,2161,4465,.484,1400,1844,.759,874,2167,3041,1818,504,336,1282,1667,7261,1997
Detroit Pistons*,82,19830,2827,6375,.443,505,1380,.366,2322,4995,.465,1458,2039,.715,964,2268,3232,1729,556,385,1153,1887,7617,1997
Chicago Bulls*,82,19730,2880,6428,.448,437,1249,.350,2443,5179,.472,1424,1985,.717,981,2136,3117,1592,595,312,1405,1856,7621,1997
