Team,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%FGA,Md., ,%3PA,3P%,Year
Chicago Bulls,82,19980,.473,14.8,,.546,.266,.153,.070,.057,.454,,.558,.682,.450,.425,.431,.370,,.574,.869,,.057,379,,.259,1056,,.274,.420,2024
Charlotte Hornets,82,19730,.494,14.0,,.588,.280,.183,.074,.050,.412,,.577,.725,.449,.455,.392,.377,,.565,.876,,.064,403,,.281,1231,,.248,.399,2024
Cleveland Cavaliers*,82,19805,.463,14.0,,.614,.261,.188,.105,.059,.386,,.521,.660,.426,.425,.380,.371,,.521,.851,,.056,347,,.267,1060,,.267,.401,2024
Dallas Mavericks*,82,19705,.475,14.0,,.606,.234,.213,.098,.061,.394,,.545,.736,.421,.460,.381,.368,,.549,.850,,.054,369,,.264,1116,,.279,.391,2024
Denver Nuggets*,82,19705,.462,13.3,,.641,.257,.219,.111,.055,.359,,.522,.686,.416,.415,.391,.355,,.550,.850,,.053,337,,.290,1149,,.228,.375,2024
Detroit Pistons,82,19755,.490,13.5,,.633,.228,.264,.084,.057,.367,,.560,.716,.477,.453,.481,.370,,.536,.838,,.054,364,,.291,1239,,.221,.399,2024
Golden State Warriors,82,19830,.466,14.6,,.591,.159,.281,.096,.055,.409,,.539,.716,.507,.420,.404,.359,,.534,.848,,.047,318,,.269,1164,,.240,.385,2024
Houston Rockets,82,19855,.463,14.3,,.598,.210,.232,.099,.057,.402,,.540,.682,.478,.464,.401,.348,,.503,.814,,.052,335,,.263,1067,,.237,.374,2024
Indiana Pacers*,82,19705,.496,12.6,,.673,.267,.252,.099,.055,.327,,.560,.688,.482,.495,.411,.365,,.476,.796,,.062,397,,.324,1369,,.224,.405,2024
Los Angeles Clippers*,82,19705,.468,14.1,,.602,.222,.231,.090,.059,.398,,.538,.707,.449,.436,.407,.363,,.540,.846,,.057,379,,.274,1126,,.252,.378,2024
Los Angeles Lakers*,82,19855,.474,14.5,,.596,.211,.223,.095,.066,.404,,.540,.724,.444,.433,.431,.376,,.538,.842,,.056,392,,.252,1097,,.218,.403,2024
Memphis Grizzlies,82,19780,.474,13.9,,.592,.277,.178,.085,.052,.408,,.541,.667,.418,.456,.425,.378,,.547,.847,,.071,450,,.270,1021,,.215,.410,2024
Miami Heat*,82,19755,.467,14.8,,.572,.197,.228,.092,.055,.428,,.553,.705,.493,.463,.407,.353,,.565,.856,,.053,341,,.250,1045,,.264,.381,2024
Milwaukee Bucks*,82,19805,.470,14.4,,.616,.222,.196,.134,.064,.384,,.541,.712,.435,.484,.391,.356,,.529,.815,,.056,361,,.255,1061,,.211,.364,2024
Minnesota Timberwolves*,82,19805,.450,13.8,,.628,.226,.214,.122,.066,.372,,.506,.673,.404,.447,.371,.354,,.537,.847,,.054,336,,.262,964,,.235,.384,2024
New Orleans Pelicans*,82,19705,.464,14.8,,.556,.238,.181,.084,.053,.444,,.555,.714,.454,.422,.397,.349,,.569,.847,,.061,399,,.260,1089,,.250,.375,2024
New York Knicks*,82,19730,.470,13.8,,.600,.281,.171,.087,.060,.400,,.540,.660,.442,.432,.420,.365,,.539,.848,,.057,345,,.281,1109,,.279,.400,2024
Oklahoma City Thunder*,82,19805,.455,14.2,,.583,.243,.195,.091,.054,.417,,.522,.652,.437,.432,.389,.361,,.554,.884,,.053,341,,.275,1071,,.313,.370,2024
Orlando Magic*,82,19780,.474,14.1,,.617,.230,.212,.107,.068,.383,,.546,.701,.464,.472,.394,.358,,.516,.806,,.056,336,,.274,1066,,.241,.371,2024
Philadelphia 76ers*,82,19780,.468,13.8,,.610,.268,.198,.086,.058,.390,,.541,.712,.406,.411,.404,.354,,.554,.863,,.066,430,,.280,1122,,.238,.388,2024
Phoenix Suns*,82,19780,.464,14.0,,.603,.252,.194,.098,.059,.397,,.529,.686,.421,.428,.381,.364,,.537,.822,,.055,365,,.279,1172,,.243,.360,2024
Portland Trail Blazers,82,19880,.491,13.8,,.616,.257,.201,.096,.061,.384,,.578,.732,.489,.458,.406,.351,,.559,.850,,.071,460,,.279,1214,,.231,.410,2024
Sacramento Kings,82,19855,.480,14.1,,.610,.211,.244,.101,.055,.390,,.539,.699,.485,.430,.368,.387,,.554,.848,,.057,364,,.277,1133,,.260,.410,2024
San Antonio Spurs,82,19830,.487,13.4,,.631,.274,.193,.103,.061,.369,,.553,.685,.467,.441,.423,.373,,.537,.842,,.074,489,,.277,1186,,.230,.379,2024
Toronto Raptors,82,19805,.491,13.9,,.602,.264,.195,.086,.056,.398,,.567,.716,.471,.420,.422,.376,,.545,.855,,.066,444,,.278,1242,,.250,.412,2024
Utah Jazz,82,19805,.487,14.2,,.591,.204,.251,.087,.049,.409,,.550,.712,.478,.466,.392,.395,,.573,.861,,.072,468,,.265,1096,,.217,.462,2024
Washington Wizards,82,19730,.496,13.4,,.635,.251,.236,.091,.057,.365,,.573,.753,.452,.464,.454,.362,,.552,.848,,.073,497,,.297,1338,,.244,.405,2024
League Average,82,19792,.474,14.0,,.605,.241,.211,.096,.058,.395,,.545,.699,.452,.446,.407,.366,,.540,.844,,.060,387,,.274,1135,,.244,.393,2024
